Sender;Emfpänger;Sendeort vor 1710 (Name) ;Sendeort vor 1710 (lat-long) ;Sendeort unklar (Name);Sendeort unklar (lat-long);Sendeort nach 1710 (Name);Sendeort nach 1710 (lat-long) ;Empfangsort (unzuverlässig) ;Empfangsort (lat-long);Datum
Scharschmidt, Justus Samuel;Francke, August Hermann;Wilna;54.6870458, 25.2829111;;;;;"Wilna; Königsberg; Kaunas";;1701.01.14
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Smolensko; Nowgorod; Livland; Archangelsk";;1701.02.24
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Astrachan; Nowgorod; Asov; Halle (Saale)";;1701.04.15
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Astrachan; Nowgorod; Asov; Halle (Saale)";;1701.04.15
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Archangelsk";;1701.05.08
Scharschmidt, Justus Samuel;Francke, August Hermann;Pavela;;;;;;"Pavela; Persien; Halle (Saale); Moskau; Ruáland; Archangelsk";;1701.06.07
Scharschmidt, Justus Samuel;Francke, August Hermann;o.O;;;;;;"Wolga; Kasan; Sachsen";;1701.06.24
Scharschmidt, Justus Samuel;Francke, August Hermann;Astrachan;46.349854, 48.031567;;;;;"Astrachan; Moskau; Persien; Deutschland; Halle (Saale); China";;1701.08.02
Scharschmidt, Justus Samuel;Spener, Philipp Jakob;Astrachan;46.349854, 48.031567;;;;;unknown;;1701.09.10
Scharschmidt, Justus Samuel;Francke, August Hermann;Archangelsk;64.543022, 40.537121;;;;;Archangelsk;;1702
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Astrachan";;1703.01.
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Astrachan; Simbirsk";;1703.03.03
