#66,#40,#41,#25,#62 
1704.01.29,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Kasan; Astrachan; Halle (Saale)
1704.03.08,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Stockholm
1704.03.08,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau
1704.03.20,"Scharschmidt, Justus Samuel",unknown,Moskau,Moskau; Waronitz; Archangelsk
1704.07.19,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau
1705.01.23,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Narva
1705.02.16,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Prag; Halle (Saale); Narwa
1705.03.13,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Narva
1705.08.29,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Astrachan
1705.11.28,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Astrachan
1706.01.22,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau
1706,"Scharschmidt, Justus Samuel","Francke, August Hermann",[Moskau],Moskau
1706.02.25,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Halle (Saale)
1706.04.03,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Halle (Saale)
1706.04.14,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau
1706.11.25,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Thessaloniki
1707.01.24,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau
1707.02.01,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau
1707.04.22,"Scharschmidt, Justus Samuel",unknown,Moskau,Moskau; Halle (Saale)
1707.06.16,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Astrachan
1708.02.03,"Scharschmidt, Justus Samuel","Francke, August Hermann",Astrachan,Astrachan
1708.12.29,"Scharschmidt, Justus Samuel","Francke, August Hermann",Astrachan,Astrachan
1709.10.28,"Scharschmidt, Justus Samuel","Francke, August Hermann",Terek <Ort>,Terek <Ort>; Astrachan; Jerusalem
1709.07.22,"Scharschmidt, Justus Samuel","Francke, August Hermann",Astrachan,Astrachan; Terek <Ort>
1709.12.05,"Scharschmidt, Justus Samuel","Francke, August Hermann",Terek <Ort>,Terek <Ort>; Jerusalem; Saratow; Astrachan
1709.12.05,"Scharschmidt, Justus Samuel","Francke, August Hermann",Terek <Ort>,Terek <Ort>; Jerusalem; Saratow; Astrachan
1710.03.20,"Scharschmidt, Justus Samuel","Scharschmidt, Christian Friedrich",Terek <Ort>,Terek <Ort>; Astrachan
1710.03.20,"Scharschmidt, Justus Samuel","Francke, August Hermann",Terek <Ort>,Terek <Ort>; Astrachan
1711.01.12,"Scharschmidt, Justus Samuel","Francke, August Hermann",Astrachan,Astrachan; Persien; Indien
1712.10.08,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Terek <Ort>; Astrachan
1712.11.04,"Scharschmidt, Justus Samuel","Müller, Peter",[Moskau],Moskau; Schabaczar
1712.11.04,"Scharschmidt, Justus Samuel","Pfeffinger, Johannes, 1698",[Moskau],Moskau
1712.11.13,"Scharschmidt, Justus Samuel","Scharschmidt, Christian Friedrich",Moskau,Moskau
1712.11.13,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau
1712.12.24,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau
1713.01.29,"Scharschmidt, Justus Samuel","Francke, August Hermann",Smolensk,Smolensk; Tobolsk; Moskau; Halle (Saale)
1713.04.20,"Scharschmidt, Justus Samuel","Francke, August Hermann",Nischna,Nischna; Smolensk; Moskau
1713.05.04,"Scharschmidt, Justus Samuel","Francke, August Hermann",Nischna,Nischna; Breslau; Ruáland
1713.09.04,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Kiew
1714.01.27,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau
1714.02.18,"Scharschmidt, Justus Samuel","Francke, August Hermann",Moskau,Moskau; Sankt Petersburg
1714.11.04,"Scharschmidt, Justus Samuel","Francke, August Hermann",Ugodka,Ugodka
1715.04.06,"Scharschmidt, Justus Samuel","Francke, August Hermann",Ugodka,Ugodka
1716.01.31,"Scharschmidt, Justus Samuel","Francke, August Hermann",Ugodka,Ugodka; Halle (Saale); Sibirien
1716.02.02,"Scharschmidt, Justus Samuel","Francke, August Hermann",Ugodka,Ugodka; Moskau
1716.02.17,"Scharschmidt, Justus Samuel","Francke, August Hermann",Ugodka,Ugodka; Moskau
1716.10.25,"Scharschmidt, Justus Samuel","Francke, August Hermann",Ugodka,Ugodka
1718.05.10,"Scharschmidt, Justus Samuel","Francke, August Hermann",Halle (Saale),Halle (Saale)
1719.09.28,"Scharschmidt, Justus Samuel","Francke, August Hermann",Quedlinburg,Quedlinburg; Braunschweig; Helmstedt; Halberstadt
1720.08.28,"Scharschmidt, Justus Samuel","Francke, August Hermann",Halle (Saale),Halle (Saale)
1722.08.20,"Scharschmidt, Justus Samuel","Francke, August Hermann",[Halle (Saale)],"Halle (Saale); Schweden, Finnland; Sibirien"
1717,"Scharschmidt, Justus Samuel","Francke, August Hermann",[Halle (Saale)],Halle (Saale); Orient
1713.01.30,"Scharschmidt, Justus Samuel","Francke, August Hermann",Smolensk,Smolensk; Moskau
1705,"Scharschmidt, Justus Samuel","Francke, August Hermann",[Moskau],Moskau; Kasan; Sankt Petersburg
1693.09.14,"Scharschmidt, Justus Samuel","Francke, August Hermann",Quedlinburg,Quedlinburg
1697.11.11,"Scharschmidt, Justus Samuel","Schrader, Franz Lorenz",Moskau,Moskau
1710,"Scharschmidt, Justus Samuel",unknown,[Astrachan],Russland; Astrachan
1698.05.17,"Scharschmidt, Justus Samuel","Scharschmidt, Christian Friedrich",Narva,Narva
unknown,"Scharschmidt, Justus Samuel",unknown,unknown,unknown
o.D.,"Scharschmidt, Justus Samuel",unknown,o.O,unknown
o.D.,"Scharschmidt, Justus Samuel",unknown,o.O,unknown
1705.03.28,"Scharschmidt, Justus Samuel",unknown,Moskau,Moskau
unknown,"Scharschmidt, Justus Samuel",unknown,unknown,unknown
unknown,"Scharschmidt, Justus Samuel",unknown,unknown,unknown
1694.10.01,"Scharschmidt, Justus Samuel",unknown,Königsberg,unknown
1697.09.30,"Scharschmidt, Justus Samuel",unknown,Moskau,Moskau
1698.06.11,"Scharschmidt, Justus Samuel",unknown,unknown,unknown
1710.01.11,"Gründler, Johann Christian; Scharschmidt, Justus Samuel","Francke, August Hermann",Sclaboda,Astrachan; Halle (Saale); Sclaboda; Terek <Ort>
unknown,unknown,unknown,unknown,unknown
